prelims_year,prelims_exam_stage,prelims_question_type,prelims_subject,prelims_sub_topic,prelims_keywords,prelims_difficulty_level,prelims_question_formate,prelims_current_affairs_linked,prelims_repeated_theme
2011,Prelims,Current,Environment,Ecology,"ecology, sustainability, conservation, biodiversity, climate change",Medium,Statement-based,Yes,Yes
2011,Prelims,Current,Polity,Parliament,"constitution, governance, institutions, rights, democracy",Easy,Statement-based,Yes,Yes
2011,Prelims,Static,History,Ancient India,"harappan civilization, vedic age, mauryas, guptas, culture",Medium,Conceptual,No,No
2011,Prelims,Mixed,Geography,Climatology,"atmospheric circulation, pressure belts, winds, precipitation, cyclones",Easy,Conceptual,No,No
2011,Prelims,Current,Environment,Conservation,"protected areas, national parks, wildlife sanctuaries, biosphere reserves, in-situ, ex-situ",Easy,Conceptual,No,No
2011,Prelims,Current,Polity,Parliament,"constitution, governance, institutions, rights, democracy",Medium,Factual,No,No
2011,Prelims,Current,Economy,Budget,"growth, development, policy, indicators, reforms",Medium,Factual,Yes,No
2011,Prelims,Mixed,Economy,Fiscal Policy,"growth, development, policy, indicators, reforms",Hard,Conceptual,Yes,Yes
2011,Prelims,Current,Polity,Constitutional Bodies,"constitution, governance, institutions, rights, democracy",Medium,Statement-based,Yes,No
2011,Prelims,Mixed,Polity,Fundamental Rights,"constitution, governance, institutions, rights, democracy",Hard,Conceptual,No,No
2011,Prelims,Current,Geography,World Geography,"latitude, longitude, ocean currents, climate zones, landforms, plate tectonics",Hard,Factual,No,Yes
2011,Prelims,Static,History,Art & Culture,"culture, chronology, movements, administration, society",Medium,Factual,No,Yes
2011,Prelims,Mixed,Economy,Banking,"growth, development, policy, indicators, reforms",Medium,Statement-based,Yes,No
2011,Prelims,Static,Environment,Ecology,"ecology, sustainability, conservation, biodiversity, climate change",Easy,Statement-based,Yes,Yes
2011,Prelims,Static,Economy,Fiscal Policy,"growth, development, policy, indicators, reforms",Easy,Factual,Yes,No
2011,Prelims,Static,Economy,Budget,"growth, development, policy, indicators, reforms",Medium,Factual,No,Yes
2011,Prelims,Static,Science & Tech,Defence Tech,"innovation, research, applications, technology",Hard,Factual,No,No
2011,Prelims,Static,Geography,Physical Geography,"landforms, climate, resources, location, mapping",Medium,Conceptual,Yes,Yes
2011,Prelims,Current,Science & Tech,Space Technology,"satellites, ISRO, launch vehicles, remote sensing, navigation",Easy,Statement-based,Yes,No
2011,Prelims,Mixed,Environment,Biodiversity,"ecosystem, species diversity, genetic diversity, biodiversity hotspots, conservation, extinction",Hard,Statement-based,Yes,No
2011,Prelims,Static,Science & Tech,Biotechnology,"genetic engineering, recombinant DNA, GM crops, cloning, vaccines, CRISPR",Hard,Factual,Yes,No
2011,Prelims,Current,History,Modern India,"freedom struggle, nationalism, colonialism, congress, mass movements, reforms",Medium,Conceptual,No,Yes
2011,Prelims,Mixed,Polity,Constitutional Bodies,"constitution, governance, institutions, rights, democracy",Medium,Statement-based,No,Yes
2011,Prelims,Static,Environment,Climate Change,"greenhouse gases, global warming, IPCC, carbon cycle, mitigation, adaptation, UNFCCC, Paris Agreement",Medium,Conceptual,Yes,No
2011,Prelims,Static,Environment,Conservation,"protected areas, national parks, wildlife sanctuaries, biosphere reserves, in-situ, ex-situ",Easy,Statement-based,Yes,No
2011,Prelims,Mixed,Polity,Federalism,"constitution, governance, institutions, rights, democracy",Medium,Statement-based,No,Yes
2011,Prelims,Static,History,Modern India,"freedom struggle, nationalism, colonialism, congress, mass movements, reforms",Hard,Statement-based,Yes,Yes
2011,Prelims,Current,Environment,Ecology,"ecology, sustainability, conservation, biodiversity, climate change",Easy,Statement-based,No,Yes
2011,Prelims,Current,Economy,Budget,"growth, development, policy, indicators, reforms",Medium,Statement-based,No,No
2011,Prelims,Mixed,Economy,Fiscal Policy,"growth, development, policy, indicators, reforms",Hard,Statement-based,No,Yes
2011,Prelims,Static,Geography,World Geography,"latitude, longitude, ocean currents, climate zones, landforms, plate tectonics",Easy,Conceptual,No,Yes
2011,Prelims,Mixed,Economy,Banking,"growth, development, policy, indicators, reforms",Easy,Conceptual,Yes,No
2011,Prelims,Mixed,History,Art & Culture,"culture, chronology, movements, administration, society",Easy,Statement-based,Yes,No
2011,Prelims,Mixed,Polity,Parliament,"constitution, governance, institutions, rights, democracy",Hard,Factual,Yes,Yes
2011,Prelims,Current,Science & Tech,Defence Tech,"innovation, research, applications, technology",Hard,Factual,Yes,No
2011,Prelims,Static,Polity,Constitutional Bodies,"constitution, governance, institutions, rights, democracy",Medium,Factual,No,Yes
2011,Prelims,Mixed,Economy,Inflation,"growth, development, policy, indicators, reforms",Hard,Conceptual,No,Yes
2011,Prelims,Current,Environment,Climate Change,"greenhouse gases, global warming, IPCC, carbon cycle, mitigation, adaptation, UNFCCC, Paris Agreement",Hard,Factual,No,No
2011,Prelims,Static,Geography,World Geography,"latitude, longitude, ocean currents, climate zones, landforms, plate tectonics",Easy,Conceptual,No,Yes
2011,Prelims,Mixed,Environment,Ecology,"ecology, sustainability, conservation, biodiversity, climate change",Hard,Factual,No,No
2011,Prelims,Static,History,Modern India,"freedom struggle, nationalism, colonialism, congress, mass movements, reforms",Medium,Factual,Yes,No
2011,Prelims,Mixed,Science & Tech,Space Technology,"satellites, ISRO, launch vehicles, remote sensing, navigation",Hard,Factual,No,No
2011,Prelims,Static,Science & Tech,IT,"innovation, research, applications, technology",Medium,Factual,Yes,Yes
2011,Prelims,Static,Polity,Constitutional Bodies,"constitution, governance, institutions, rights, democracy",Easy,Factual,No,Yes
2011,Prelims,Mixed,Economy,Budget,"growth, development, policy, indicators, reforms",Medium,Factual,No,No
2011,Prelims,Static,Environment,Ecology,"ecology, sustainability, conservation, biodiversity, climate change",Hard,Factual,No,No
2011,Prelims,Current,Science & Tech,Biotechnology,"genetic engineering, recombinant DNA, GM crops, cloning, vaccines, CRISPR",Hard,Statement-based,Yes,No
2011,Prelims,Mixed,Polity,Parliament,"constitution, governance, institutions, rights, democracy",Easy,Statement-based,Yes,No
2011,Prelims,Static,History,Art & Culture,"culture, chronology, movements, administration, society",Medium,Statement-based,Yes,Yes
2011,Prelims,Static,Science & Tech,Defence Tech,"innovation, research, applications, technology",Hard,Statement-based,Yes,No
2011,Prelims,Mixed,History,Medieval India,"delhi sultanate, mughals, administration, culture, economy",Easy,Conceptual,Yes,Yes
2011,Prelims,Current,Environment,Climate Change,"greenhouse gases, global warming, IPCC, carbon cycle, mitigation, adaptation, UNFCCC, Paris Agreement",Easy,Factual,Yes,Yes
2011,Prelims,Current,History,Ancient India,"harappan civilization, vedic age, mauryas, guptas, culture",Easy,Conceptual,No,No
2011,Prelims,Static,Polity,Parliament,"constitution, governance, institutions, rights, democracy",Hard,Conceptual,No,No
2011,Prelims,Static,Environment,Biodiversity,"ecosystem, species diversity, genetic diversity, biodiversity hotspots, conservation, extinction",Easy,Factual,Yes,Yes
2011,Prelims,Current,Economy,Fiscal Policy,"growth, development, policy, indicators, reforms",Easy,Statement-based,Yes,Yes
2011,Prelims,Static,Environment,Climate Change,"greenhouse gases, global warming, IPCC, carbon cycle, mitigation, adaptation, UNFCCC, Paris Agreement",Easy,Factual,No,Yes
2011,Prelims,Static,History,Art & Culture,"culture, chronology, movements, administration, society",Easy,Factual,No,Yes
2011,Prelims,Mixed,History,Ancient India,"harappan civilization, vedic age, mauryas, guptas, culture",Easy,Statement-based,Yes,No
2011,Prelims,Current,Geography,Physical Geography,"landforms, climate, resources, location, mapping",Easy,Statement-based,No,No
2011,Prelims,Current,Polity,Federalism,"constitution, governance, institutions, rights, democracy",Medium,Conceptual,No,No
2011,Prelims,Current,Geography,World Geography,"latitude, longitude, ocean currents, climate zones, landforms, plate tectonics",Easy,Statement-based,No,No
2011,Prelims,Static,Environment,Biodiversity,"ecosystem, species diversity, genetic diversity, biodiversity hotspots, conservation, extinction",Hard,Conceptual,No,Yes
2011,Prelims,Current,History,Modern India,"freedom struggle, nationalism, colonialism, congress, mass movements, reforms",Easy,Statement-based,Yes,Yes
2011,Prelims,Current,Polity,Parliament,"constitution, governance, institutions, rights, democracy",Medium,Factual,No,Yes
2011,Prelims,Mixed,Environment,Ecology,"ecology, sustainability, conservation, biodiversity, climate change",Medium,Conceptual,No,Yes
2011,Prelims,Current,Polity,Fundamental Rights,"constitution, governance, institutions, rights, democracy",Hard,Conceptual,No,No
2011,Prelims,Current,Environment,Climate Change,"greenhouse gases, global warming, IPCC, carbon cycle, mitigation, adaptation, UNFCCC, Paris Agreement",Easy,Conceptual,No,Yes
2011,Prelims,Mixed,Economy,Budget,"growth, development, policy, indicators, reforms",Medium,Statement-based,Yes,Yes
2011,Prelims,Static,Polity,Fundamental Rights,"constitution, governance, institutions, rights, democracy",Easy,Statement-based,Yes,No
2011,Prelims,Static,Environment,Conservation,"protected areas, national parks, wildlife sanctuaries, biosphere reserves, in-situ, ex-situ",Easy,Conceptual,No,No
2011,Prelims,Current,Environment,Ecology,"ecology, sustainability, conservation, biodiversity, climate change",Medium,Statement-based,Yes,Yes
2011,Prelims,Static,Polity,Parliament,"constitution, governance, institutions, rights, democracy",Hard,Statement-based,No,No
2011,Prelims,Current,Polity,Federalism,"constitution, governance, institutions, rights, democracy",Hard,Conceptual,Yes,Yes
2011,Prelims,Static,Science & Tech,IT,"innovation, research, applications, technology",Easy,Factual,No,No
2012,Prelims,Static,Polity,Constitutional Bodies,"constitution, governance, institutions, rights, democracy",Medium,Conceptual,Yes,Yes
2012,Prelims,Current,Polity,Parliament,"constitution, governance, institutions, rights, democracy",Medium,Conceptual,No,Yes
2012,Prelims,Mixed,Economy,Banking,"growth, development, policy, indicators, reforms",Medium,Conceptual,Yes,No
2012,Prelims,Current,Economy,Budget,"growth, development, policy, indicators, reforms",Hard,Conceptual,Yes,Yes
2012,Prelims,Current,Geography,Climatology,"atmospheric circulation, pressure belts, winds, precipitation, cyclones",Hard,Conceptual,Yes,Yes
2012,Prelims,Mixed,History,Modern India,"freedom struggle, nationalism, colonialism, congress, mass movements, reforms",Hard,Statement-based,No,No
2012,Prelims,Static,Economy,Fiscal Policy,"growth, development, policy, indicators, reforms",Medium,Factual,No,Yes
2012,Prelims,Static,History,Art & Culture,"culture, chronology, movements, administration, society",Easy,Conceptual,No,Yes
2012,Prelims,Mixed,History,Medieval India,"delhi sultanate, mughals, administration, culture, economy",Easy,Statement-based,Yes,Yes
2012,Prelims,Mixed,History,Medieval India,"delhi sultanate, mughals, administration, culture, economy",Easy,Factual,Yes,No
2012,Prelims,Mixed,History,Ancient India,"harappan civilization, vedic age, mauryas, guptas, culture",Hard,Statement-based,No,No
2012,Prelims,Current,Environment,Ecology,"ecology, sustainability, conservation, biodiversity, climate change",Easy,Conceptual,No,No
2012,Prelims,Mixed,Geography,Climatology,"atmospheric circulation, pressure belts, winds, precipitation, cyclones",Hard,Factual,Yes,No
2012,Prelims,Static,Science & Tech,Space Technology,"satellites, ISRO, launch vehicles, remote sensing, navigation",Hard,Conceptual,Yes,No
2012,Prelims,Mixed,Polity,Fundamental Rights,"constitution, governance, institutions, rights, democracy",Hard,Factual,Yes,Yes
2012,Prelims,Current,Science & Tech,Defence Tech,"innovation, research, applications, technology",Medium,Conceptual,Yes,No
2012,Prelims,Static,Polity,Federalism,"constitution, governance, institutions, rights, democracy",Medium,Statement-based,Yes,Yes
2012,Prelims,Mixed,Environment,Ecology,"ecology, sustainability, conservation, biodiversity, climate change",Easy,Conceptual,No,No
2012,Prelims,Mixed,Science & Tech,IT,"innovation, research, applications, technology",Hard,Conceptual,No,No
2012,Prelims,Current,Geography,Physical Geography,"landforms, climate, resources, location, mapping",Medium,Factual,No,Yes
2012,Prelims,Mixed,Economy,Budget,"growth, development, policy, indicators, reforms",Medium,Factual,Yes,Yes
2012,Prelims,Mixed,Polity,Constitutional Bodies,"constitution, governance, institutions, rights, democracy",Hard,Statement-based,No,Yes
2012,Prelims,Current,Environment,Climate Change,"greenhouse gases, global warming, IPCC, carbon cycle, mitigation, adaptation, UNFCCC, Paris Agreement",Medium,Conceptual,Yes,Yes
2012,Prelims,Static,History,Art & Culture,"culture, chronology, movements, administration, society",Medium,Statement-based,No,No
2012,Prelims,Static,Geography,Indian Geography,"monsoon, rivers, drainage, soil types, physiography, resources",Easy,Statement-based,Yes,No
2012,Prelims,Current,Economy,Banking,"growth, development, policy, indicators, reforms",Hard,Conceptual,Yes,No
2012,Prelims,Current,History,Art & Culture,"culture, chronology, movements, administration, society",Hard,Factual,No,No
2012,Prelims,Current,Environment,Ecology,"ecology, sustainability, conservation, biodiversity, climate change",Hard,Statement-based,No,No
2012,Prelims,Mixed,History,Modern India,"freedom struggle, nationalism, colonialism, congress, mass movements, reforms",Hard,Statement-based,No,Yes
2012,Prelims,Mixed,Economy,Banking,"growth, development, policy, indicators, reforms",Hard,Factual,No,No
2012,Prelims,Static,Science & Tech,IT,"innovation, research, applications, technology",Hard,Conceptual,No,No
2012,Prelims,Static,Environment,Climate Change,"greenhouse gases, global warming, IPCC, carbon cycle, mitigation, adaptation, UNFCCC, Paris Agreement",Easy,Statement-based,No,No
2012,Prelims,Mixed,Science & Tech,IT,"innovation, research, applications, technology",Easy,Factual,Yes,Yes
2012,Prelims,Mixed,Environment,Biodiversity,"ecosystem, species diversity, genetic diversity, biodiversity hotspots, conservation, extinction",Medium,Statement-based,Yes,Yes
2012,Prelims,Static,Geography,Indian Geography,"monsoon, rivers, drainage, soil types, physiography, resources",Hard,Conceptual,Yes,No
2012,Prelims,Mixed,Geography,Indian Geography,"monsoon, rivers, drainage, soil types, physiography, resources",Medium,Statement-based,Yes,No
2012,Prelims,Mixed,Environment,Climate Change,"greenhouse gases, global warming, IPCC, carbon cycle, mitigation, adaptation, UNFCCC, Paris Agreement",Easy,Statement-based,Yes,No
2012,Prelims,Static,History,Ancient India,"harappan civilization, vedic age, mauryas, guptas, culture",Medium,Factual,No,Yes
2012,Prelims,Static,Economy,Banking,"growth, development, policy, indicators, reforms",Hard,Factual,Yes,No
2012,Prelims,Current,Polity,Fundamental Rights,"constitution, governance, institutions, rights, democracy",Medium,Factual,Yes,No
2012,Prelims,Static,Environment,Ecology,"ecology, sustainability, conservation, biodiversity, climate change",Hard,Conceptual,Yes,Yes
2012,Prelims,Current,History,Medieval India,"delhi sultanate, mughals, administration, culture, economy",Hard,Statement-based,No,Yes
2012,Prelims,Static,Economy,Banking,"growth, development, policy, indicators, reforms",Easy,Conceptual,Yes,Yes
2012,Prelims,Static,Geography,Climatology,"atmospheric circulation, pressure belts, winds, precipitation, cyclones",Medium,Conceptual,No,No
2012,Prelims,Current,Economy,Banking,"growth, development, policy, indicators, reforms",Hard,Statement-based,Yes,Yes
2012,Prelims,Current,Environment,Ecology,"ecology, sustainability, conservation, biodiversity, climate change",Medium,Factual,No,No
2012,Prelims,Static,History,Medieval India,"delhi sultanate, mughals, administration, culture, economy",Hard,Conceptual,No,No
2012,Prelims,Current,Economy,Inflation,"growth, development, policy, indicators, reforms",Medium,Factual,No,Yes
2012,Prelims,Mixed,History,Modern India,"freedom struggle, nationalism, colonialism, congress, mass movements, reforms",Medium,Factual,No,No
2012,Prelims,Current,History,Medieval India,"delhi sultanate, mughals, administration, culture, economy",Easy,Conceptual,No,No
2012,Prelims,Current,Economy,Banking,"growth, development, policy, indicators, reforms",Easy,Statement-based,Yes,No
2012,Prelims,Mixed,History,Medieval India,"delhi sultanate, mughals, administration, culture, economy",Easy,Factual,No,No
2012,Prelims,Mixed,History,Modern India,"freedom struggle, nationalism, colonialism, congress, mass movements, reforms",Hard,Conceptual,No,No
2012,Prelims,Static,Science & Tech,Defence Tech,"innovation, research, applications, technology",Easy,Factual,No,Yes
2012,Prelims,Static,Environment,Ecology,"ecology, sustainability, conservation, biodiversity, climate change",Hard,Conceptual,Yes,No
2012,Prelims,Mixed,Polity,Parliament,"constitution, governance, institutions, rights, democracy",Easy,Statement-based,Yes,Yes
2012,Prelims,Mixed,Polity,Parliament,"constitution, governance, institutions, rights, democracy",Easy,Statement-based,Yes,Yes
2012,Prelims,Current,Science & Tech,IT,"innovation, research, applications, technology",Hard,Statement-based,Yes,Yes
2012,Prelims,Current,Economy,Budget,"growth, development, policy, indicators, reforms",Hard,Factual,Yes,No
2012,Prelims,Static,Economy,Budget,"growth, development, policy, indicators, reforms",Hard,Conceptual,No,Yes
2012,Prelims,Static,Science & Tech,IT,"innovation, research, applications, technology",Medium,Conceptual,No,No
2012,Prelims,Static,Geography,Physical Geography,"landforms, climate, resources, location, mapping",Hard,Statement-based,Yes,No
2012,Prelims,Mixed,Polity,Constitutional Bodies,"constitution, governance, institutions, rights, democracy",Hard,Factual,Yes,Yes
2012,Prelims,Mixed,Environment,Climate Change,"greenhouse gases, global warming, IPCC, carbon cycle, mitigation, adaptation, UNFCCC, Paris Agreement",Medium,Statement-based,Yes,No
2012,Prelims,Mixed,History,Art & Culture,"culture, chronology, movements, administration, society",Medium,Factual,No,Yes
2012,Prelims,Static,Science & Tech,IT,"innovation, research, applications, technology",Hard,Statement-based,No,No
2012,Prelims,Current,Economy,Fiscal Policy,"growth, development, policy, indicators, reforms",Easy,Statement-based,No,Yes
2012,Prelims,Current,Economy,Fiscal Policy,"growth, development, policy, indicators, reforms",Easy,Conceptual,Yes,Yes
2012,Prelims,Static,Geography,World Geography,"latitude, longitude, ocean currents, climate zones, landforms, plate tectonics",Medium,Conceptual,No,Yes
2012,Prelims,Mixed,Science & Tech,Defence Tech,"innovation, research, applications, technology",Medium,Factual,No,No
2012,Prelims,Current,Geography,Climatology,"atmospheric circulation, pressure belts, winds, precipitation, cyclones",Easy,Conceptual,Yes,Yes
2012,Prelims,Static,Polity,Fundamental Rights,"constitution, governance, institutions, rights, democracy",Easy,Statement-based,No,No
2012,Prelims,Mixed,Polity,Parliament,"constitution, governance, institutions, rights, democracy",Medium,Conceptual,No,Yes
2012,Prelims,Static,Science & Tech,IT,"innovation, research, applications, technology",Easy,Statement-based,No,No
2012,Prelims,Current,Geography,Physical Geography,"landforms, climate, resources, location, mapping",Medium,Factual,Yes,Yes
2012,Prelims,Current,Geography,Physical Geography,"landforms, climate, resources, location, mapping",Easy,Factual,Yes,Yes
2012,Prelims,Mixed,Science & Tech,Defence Tech,"innovation, research, applications, technology",Hard,Conceptual,Yes,Yes
2012,Prelims,Mixed,Economy,Banking,"growth, development, policy, indicators, reforms",Easy,Factual,No,Yes
2012,Prelims,Current,Environment,Conservation,"protected areas, national parks, wildlife sanctuaries, biosphere reserves, in-situ, ex-situ",Medium,Conceptual,No,Yes
2012,Prelims,Static,History,Art & Culture,"culture, chronology, movements, administration, society",Easy,Factual,No,Yes
2012,Prelims,Current,Economy,Fiscal Policy,"growth, development, policy, indicators, reforms",Medium,Factual,No,No
2012,Prelims,Mixed,Geography,World Geography,"latitude, longitude, ocean currents, climate zones, landforms, plate tectonics",Medium,Factual,Yes,Yes
2012,Prelims,Current,Polity,Parliament,"constitution, governance, institutions, rights, democracy",Medium,Factual,Yes,Yes
2012,Prelims,Static,Science & Tech,IT,"innovation, research, applications, technology",Hard,Conceptual,No,Yes
2012,Prelims,Current,Economy,Fiscal Policy,"growth, development, policy, indicators, reforms",Hard,Conceptual,No,No
2012,Prelims,Current,Science & Tech,IT,"innovation, research, applications, technology",Medium,Factual,No,Yes
2012,Prelims,Current,Geography,Physical Geography,"landforms, climate, resources, location, mapping",Hard,Statement-based,No,No
2012,Prelims,Current,History,Ancient India,"harappan civilization, vedic age, mauryas, guptas, culture",Medium,Conceptual,Yes,No
2012,Prelims,Current,Economy,Budget,"growth, development, policy, indicators, reforms",Easy,Factual,Yes,No
2012,Prelims,Mixed,Environment,Conservation,"protected areas, national parks, wildlife sanctuaries, biosphere reserves, in-situ, ex-situ",Easy,Conceptual,No,No
2012,Prelims,Mixed,Polity,Federalism,"constitution, governance, institutions, rights, democracy",Medium,Statement-based,No,No
2012,Prelims,Mixed,Science & Tech,IT,"innovation, research, applications, technology",Medium,Conceptual,Yes,Yes
2012,Prelims,Static,Polity,Federalism,"constitution, governance, institutions, rights, democracy",Hard,Conceptual,No,No
2012,Prelims,Current,Economy,Inflation,"growth, development, policy, indicators, reforms",Hard,Factual,Yes,No
2012,Prelims,Current,History,Art & Culture,"culture, chronology, movements, administration, society",Hard,Statement-based,No,Yes
2012,Prelims,Current,Science & Tech,Defence Tech,"innovation, research, applications, technology",Easy,Factual,Yes,Yes
2012,Prelims,Current,Polity,Constitutional Bodies,"constitution, governance, institutions, rights, democracy",Medium,Factual,No,Yes
2012,Prelims,Mixed,Science & Tech,IT,"innovation, research, applications, technology",Hard,Conceptual,No,Yes
2012,Prelims,Current,History,Art & Culture,"culture, chronology, movements, administration, society",Hard,Factual,Yes,No
2012,Prelims,Current,Environment,Climate Change,"greenhouse gases, global warming, IPCC, carbon cycle, mitigation, adaptation, UNFCCC, Paris Agreement",Hard,Conceptual,Yes,Yes
2013,Prelims,Current,History,Medieval India,"delhi sultanate, mughals, administration, culture, economy",Hard,Statement-based,Yes,Yes
2013,Prelims,Current,Environment,Biodiversity,"ecosystem, species diversity, genetic diversity, biodiversity hotspots, conservation, extinction",Hard,Statement-based,No,Yes
2013,Prelims,Current,Science & Tech,Space Technology,"satellites, ISRO, launch vehicles, remote sensing, navigation",Hard,Factual,Yes,Yes
2013,Prelims,Static,Geography,World Geography,"latitude, longitude, ocean currents, climate zones, landforms, plate tectonics",Easy,Conceptual,Yes,Yes
2013,Prelims,Static,Economy,Banking,"growth, development, policy, indicators, reforms",Easy,Statement-based,Yes,No
2013,Prelims,Static,Science & Tech,IT,"innovation, research, applications, technology",Medium,Factual,Yes,No
2013,Prelims,Current,Science & Tech,Space Technology,"satellites, ISRO, launch vehicles, remote sensing, navigation",Easy,Statement-based,Yes,No
2013,Prelims,Static,Polity,Constitutional Bodies,"constitution, governance, institutions, rights, democracy",Hard,Conceptual,Yes,Yes
2013,Prelims,Static,History,Modern India,"freedom struggle, nationalism, colonialism, congress, mass movements, reforms",Medium,Factual,Yes,No
2013,Prelims,Current,Economy,Budget,"growth, development, policy, indicators, reforms",Hard,Conceptual,No,No
2013,Prelims,Mixed,History,Art & Culture,"culture, chronology, movements, administration, society",Easy,Statement-based,No,Yes
2013,Prelims,Current,Environment,Conservation,"protected areas, national parks, wildlife sanctuaries, biosphere reserves, in-situ, ex-situ",Easy,Conceptual,Yes,Yes
2013,Prelims,Current,Environment,Biodiversity,"ecosystem, species diversity, genetic diversity, biodiversity hotspots, conservation, extinction",Medium,Conceptual,No,No
2013,Prelims,Static,Economy,Budget,"growth, development, policy, indicators, reforms",Medium,Statement-based,No,Yes
2013,Prelims,Mixed,Environment,Conservation,"protected areas, national parks, wildlife sanctuaries, biosphere reserves, in-situ, ex-situ",Medium,Conceptual,No,Yes
2013,Prelims,Mixed,Science & Tech,Biotechnology,"genetic engineering, recombinant DNA, GM crops, cloning, vaccines, CRISPR",Medium,Conceptual,Yes,No
2013,Prelims,Current,Science & Tech,Space Technology,"satellites, ISRO, launch vehicles, remote sensing, navigation",Hard,Factual,Yes,No
2013,Prelims,Current,Polity,Federalism,"constitution, governance, institutions, rights, democracy",Medium,Conceptual,No,No
2013,Prelims,Static,Environment,Biodiversity,"ecosystem, species diversity, genetic diversity, biodiversity hotspots, conservation, extinction",Easy,Conceptual,No,No
2013,Prelims,Mixed,Science & Tech,IT,"innovation, research, applications, technology",Easy,Statement-based,Yes,Yes
2013,Prelims,Mixed,Economy,Banking,"growth, development, policy, indicators, reforms",Easy,Conceptual,Yes,No
2013,Prelims,Mixed,Geography,World Geography,"latitude, longitude, ocean currents, climate zones, landforms, plate tectonics",Easy,Factual,No,Yes
2013,Prelims,Current,Geography,Indian Geography,"monsoon, rivers, drainage, soil types, physiography, resources",Easy,Statement-based,No,No
2013,Prelims,Current,Environment,Ecology,"ecology, sustainability, conservation, biodiversity, climate change",Easy,Statement-based,Yes,No
2013,Prelims,Mixed,Polity,Constitutional Bodies,"constitution, governance, institutions, rights, democracy",Medium,Factual,No,No
2013,Prelims,Current,Economy,Banking,"growth, development, policy, indicators, reforms",Easy,Factual,No,No
2013,Prelims,Static,History,Medieval India,"delhi sultanate, mughals, administration, culture, economy",Hard,Conceptual,No,Yes
2013,Prelims,Mixed,Geography,Indian Geography,"monsoon, rivers, drainage, soil types, physiography, resources",Hard,Conceptual,Yes,Yes
